0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Inflection of hüvä  singular  plural  nominative hüvä hüvät  genitive hüvän hüvviin  partitive hüvvää hüvviiä  illative hüvvää hüvvii  inessive hüvääz hüviiz  elative hüväst hüvist  allative hüvälle hüville  adessive hüvääl hüviil  ablative hüvält hüvilt  translative hüväks hüviks  essive hüvvään hüvviin,,singular,plural,nominative,hüvä,hüvät,genitive,hüvän,hüvviin,partitive,hüvvää,hüvviiä,illative,hüvvää,hüvvii,inessive,hüvääz,hüviiz,elative,hüväst,hüvist,allative,hüvälle,hüville,adessive,hüvääl,hüviil,ablative,hüvält,hüvilt,translative,hüväks,hüviks,essive,hüvvään,hüvviin
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,ADJ;SG;NOM,ADJ;PL;NOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,ADJ;SG;GEN,ADJ;PL;GEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,ADJ;SG;PRT,ADJ;PL;PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,ADJ;SG;IN+ALL,ADJ;PL;IN+ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,ADJ;SG;IN+ESS,ADJ;PL;IN+ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,ADJ;SG;IN+ABL,ADJ;PL;IN+ABL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,ADJ;SG;AT+ALL,ADJ;PL;AT+ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,ADJ;SG;AT+ESS,ADJ;PL;AT+ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,ADJ;SG;AT+ABL,ADJ;PL;AT+ABL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
translative,ADJ;SG;TRANS,ADJ;PL;TRANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essive,ADJ;SG;ESS,ADJ;PL;ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,ADJ;SG;NOM,ADJ;PL;NOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,ADJ;SG;GEN,ADJ;PL;GEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,ADJ;SG;PRT,ADJ;PL;PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,ADJ;SG;IN+ALL,ADJ;PL;IN+ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,ADJ;SG;IN+ESS,ADJ;PL;IN+ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,ADJ;SG;IN+ABL,ADJ;PL;IN+ABL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,ADJ;SG;AT+ALL,ADJ;PL;AT+ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,ADJ;SG;AT+ESS,ADJ;PL;AT+ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,ADJ;SG;AT+ABL,ADJ;PL;AT+ABL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
translative,ADJ;SG;TRANS,ADJ;PL;TRANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essive,ADJ;SG;ESS,ADJ;PL;ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
