0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Declension of entši  singular  plural  nominative entši enďed  genitive enďee entšije  partitive entšeä entšiit  illative entšee entšiise  inessive enďez enďiz  elative enďess enďiss  allative enďele enďile  adessive enďell enďill  ablative enďelt enďilt  translative enďessi enďissi  essive enďenä entšiinä  comitative enďeka entšiika  terminative enďelessa enďilessa,,singular,plural,nominative,entši,enďed,genitive,enďee,entšije,partitive,entšeä,entšiit,illative,entšee,entšiise,inessive,enďez,enďiz,elative,enďess,enďiss,allative,enďele,enďile,adessive,enďell,enďill,ablative,enďelt,enďilt,translative,enďessi,enďissi,essive,enďenä,entšiinä,comitative,enďeka,entšiika,terminative,enďelessa,enďilessa
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,N;SG;NOM,N;PL;NOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,N;SG;GEN,N;PL;GEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,N;SG;PRT,N;PL;PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,N;SG;IN+ALL,N;PL;IN+ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,N;SG;IN+ESS,N;PL;IN+ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,N;SG;IN+ABL,N;PL;IN+ABL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,N;SG;AT+ALL,N;PL;AT+ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,N;SG;AT+ESS,N;PL;AT+ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,N;SG;AT+ABL,N;PL;AT+ABL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
translative,N;SG;TRANS,N;PL;TRANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essive,N;SG;ESS,N;PL;ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comitative,N;SG;COM,N;PL;COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terminative,N;SG;TERM,N;PL;TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,N;SG;NOM,N;PL;NOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,N;SG;GEN,N;PL;GEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,N;SG;PRT,N;PL;PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,N;SG;IN+ALL,N;PL;IN+ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,N;SG;IN+ESS,N;PL;IN+ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,N;SG;IN+ABL,N;PL;IN+ABL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,N;SG;AT+ALL,N;PL;AT+ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,N;SG;AT+ESS,N;PL;AT+ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,N;SG;AT+ABL,N;PL;AT+ABL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
translative,N;SG;TRANS,N;PL;TRANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essive,N;SG;ESS,N;PL;ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comitative,N;SG;COM,N;PL;COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terminative,N;SG;TERM,N;PL;TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
